Name,study_hours,sleep_hours,focus_level,stress_level,break_time,revision,screen_time,physical_activity,attendance,previous_marks,performance
Rohit Iyer,1.7,6.2,8,8,17,1,5,1,87,62,86
Anaya Yadav,4,5.5,6,7,11,0,1.6,1,86,82,100
Aarav Agarwal,2.9,6.6,7,8,14,0,3.4,1,92,81,96
Kavya Pandey,4.4,6.7,5,3,13,0,6.4,1,91,44,93
Reyansh Sharma,6.2,8,6,4,19,0,6.5,1,83,66,98
Ishaan Shah,1.9,6.5,7,3,19,1,8.7,0,84,59,72
Neha Jain,5.4,5.4,6,3,22,1,3.9,1,69,70,100
Aarav Das,5.2,5.4,5,6,16,1,3.7,0,100,100,100
Krishna Reddy,6.7,5.9,8,8,24,0,1.1,0,90,52,100
Neha Saxena,7.5,8.2,5,2,13,1,7,1,88,56,100
Atharva Mehta,8,6.8,8,5,20,1,6.7,1,90,71,100
Saanvi Mehta,5.1,7.3,6,6,15,0,5.2,1,74,80,100
Krishna Verma,5.5,7.7,5,5,22,0,4.7,0,96,68,96
Manav Saxena,5,7.6,9,1,14,0,3.4,1,54,70,100
Manav Yadav,4,7.8,5,8,17,0,7.2,0,78,80,79
Harsh Tiwari,4.7,6.8,6,3,21,0,7.2,0,97,65,91
Arjun Mehta,6.6,8.3,6,6,9,0,4.4,0,76,76,100
Tanvi Reddy,10,7.4,8,5,12,0,5.6,0,100,68,100
Sakshi Goyal,3.4,5.5,8,6,23,0,5.9,1,74,79,99
Ishita Agarwal,4.8,7.1,8,3,17,1,8.9,0,88,50,100
Rahul Reddy,3.6,6.5,7,6,12,0,9.2,1,76,64,81
Reyansh Verma,5,8.4,6,1,21,1,4.8,0,100,73,100
Ishaan Patel,3.2,6.1,8,6,14,1,5.7,1,100,53,95
Krishna Roy,4.8,6.9,8,9,8,1,7.8,1,77,57,81
Dhruv Kulkarni,5.3,7.2,5,5,12,0,3.1,0,87,59,96
Tanishq Bansal,8.5,9.1,8,4,16,1,6.5,1,78,43,100
Harsh Joshi,3.9,6.3,6,9,16,1,5.1,0,100,48,78
Pooja Saxena,5.1,6.4,6,1,17,1,8.3,0,85,74,100
Neha Verma,8.6,7.2,7,6,5,0,3.9,0,69,89,100
Varun Nair,2.2,5.8,7,3,13,1,8.8,1,87,74,97
Manav Singh,3.7,6.8,5,3,9,1,6.7,1,71,69,90
Palak Singh,3.3,7.7,7,10,27,1,6.3,1,76,81,94
Riya Shah,4.8,7.5,9,4,18,1,6.8,1,100,47,97
Priya Mishra,2.1,6.8,8,5,9,0,9,0,86,75,86
Manav Gupta,3.8,8.1,7,1,19,0,4.8,1,100,56,100
Aarav Banerjee,5.3,6.3,6,4,10,1,3.6,0,82,95,100
Manav Iyer,5.1,7.2,9,4,18,1,5.3,1,86,49,100
Varun Bose,2.4,5.1,7,2,24,1,6.6,1,85,88,100
Rudra Desai,6.4,6.9,6,7,7,1,3.8,0,87,84,100
Aditya Roy,6.3,7,7,5,9,0,5.6,0,98,66,100
Aarav Bose,4.6,7.7,7,7,11,1,4.6,1,81,55,89
Arjun Singh,3.8,6.9,7,7,13,0,4.1,1,89,61,94
Sneha Tiwari,4.6,6.7,7,5,11,1,2.9,0,83,53,91
Rudra Das,4,8.3,8,7,11,1,7.9,1,85,76,93
Sakshi Jain,5.2,8.2,5,6,18,0,7.7,1,98,69,90
Priya Chatterjee,5.9,6.9,8,3,19,0,9.5,0,82,59,99
Ishaan Iyer,1.8,6.2,7,5,14,1,2.2,0,100,85,89
Anaya Chauhan,3.4,7.3,7,3,21,1,8.4,0,87,49,88
Anaya Agarwal,0.9,7.3,5,6,17,1,2.9,0,67,64,68
Sneha Chauhan,2.4,7.4,9,5,15,1,5.2,0,80,71,84
Tanvi Sharma,5.1,6.4,4,6,14,1,5.2,0,73,72,91
Kabir Saxena,2.8,7.5,9,7,20,0,7.5,0,84,61,82
Yash Mehta,3,7.5,9,7,18,0,5.9,0,86,60,80
Sakshi Chauhan,6.5,8,10,4,10,0,5.6,1,81,81,100
Yash Jain,6.4,7.5,9,4,25,1,3,0,85,55,100
Vihaan Banerjee,4.3,7.2,7,5,13,1,10.8,1,75,50,86
Aman Bose,5,7.5,6,6,18,0,3.8,0,94,57,92
Varun Joshi,1.6,8.1,8,4,21,1,2.8,1,83,56,94
Pooja Bansal,3.8,5.3,8,4,9,1,4.7,0,79,64,89
Sakshi Mishra,3,4.9,7,8,13,0,4.3,0,95,61,78
Anaya Sharma,3.8,7.7,7,2,16,1,5.2,1,72,72,93
Meera Agarwal,5.3,7,6,7,17,1,3.8,1,84,65,97
Rohit Chatterjee,4.7,8.2,6,3,16,1,4.9,0,84,39,85
Nikhil Chauhan,4.4,6.9,8,4,18,1,4.7,1,82,65,100
Kabir Kulkarni,6.4,6.3,7,4,15,1,3.7,0,78,97,100
Yash Trivedi,8,7.5,4,5,17,1,3.4,1,78,66,100
Reyansh Goyal,0.5,8.4,8,2,18,1,2.9,0,71,94,90
Riya Gupta,7.6,7.7,7,7,16,1,4.6,1,83,67,100
Rahul Iyer,5.7,6.3,7,4,13,1,4.2,0,77,100,100
Vivaan Jain,4,7.3,7,3,16,1,5,1,68,83,100
Tanvi Kumar,4.4,7.8,6,10,22,1,1.7,1,84,77,92
Sai Yadav,3.7,7.2,7,6,14,0,5.9,0,100,71,89
Rahul Goyal,5.5,8.3,8,8,9,0,3.5,0,70,69,87
Rahul Bose,3.4,6.5,9,4,15,1,9.7,0,85,59,80
Ira Saxena,3.1,7.6,9,3,15,1,3.6,0,68,82,98
Aman Tiwari,6.2,7.8,6,3,9,1,5.6,1,83,65,100
Atharva Joshi,10,6,8,7,13,1,1,0,80,85,100
Rahul Patel,6.9,6.2,8,5,30,0,5.4,0,76,74,100
Kavya Mishra,5.4,7.1,7,6,15,1,3.3,1,80,78,100
Sakshi Desai,4.6,6.1,9,6,12,1,7,1,93,61,100
Harsh Joshi,2.2,7,7,3,9,0,3.7,1,94,64,91
Aarav Saxena,5.1,4,9,7,15,1,8.7,0,77,65,92
Priya Chatterjee,4.9,6.5,7,3,19,0,6.3,0,84,69,96
Kabir Mishra,4.2,7.7,5,4,25,0,6.8,1,82,79,84
Ishita Singh,3.6,6.4,6,3,7,1,1.1,0,91,90,100
Aditya Chauhan,3.3,8,6,5,12,0,1.1,0,89,63,89
Sakshi Jain,4,6.5,4,8,19,0,3.4,1,76,48,66
Sai Mehta,5,6.7,10,4,19,1,3.8,0,85,72,100
Krishna Patel,3.3,7.6,7,6,21,1,8,1,88,43,77
Priya Bose,4,8.1,6,4,26,0,8.6,0,81,91,85
Ishaan Bose,3.7,7,8,9,17,0,6.3,0,81,81,99
Varun Banerjee,3.3,8.1,6,3,15,0,4.1,1,84,46,100
Harsh Patel,7.5,6.6,8,3,19,0,3.4,1,91,94,100
Tanvi Trivedi,3.3,7,5,6,22,0,5.9,1,90,72,90
Neha Singh,1.7,5.6,5,5,15,0,2.5,1,77,100,88
Anaya Kulkarni,2,5.6,5,3,21,1,3.8,1,77,80,98
Yash Mehta,3.2,7.8,7,7,10,0,4.1,1,84,86,90
Yash Trivedi,4.7,8.3,6,6,19,0,5.5,0,78,64,91
Neha Chauhan,4.2,6.6,5,8,22,1,6.8,1,69,88,87
Ishita Mehta,2,7.2,7,5,15,0,5,0,83,58,78
Dhruv Kumar,6.3,7.8,7,4,14,0,4.4,1,81,81,100
Sakshi Mehta,4.8,4.6,6,6,14,1,3,1,97,82,100
Vivaan Sharma,3.8,6.7,10,3,22,1,5.2,1,90,73,100
Aditya Goyal,5.7,8.7,9,3,13,1,3.5,0,71,82,100
Varun Kulkarni,2.2,6.1,10,6,14,0,7.4,0,79,82,86
Saanvi Mishra,1,8,5,4,9,0,5.2,1,65,52,68
Vivaan Chauhan,3.2,7.4,8,8,14,1,3.1,0,68,58,79
Vivaan Yadav,3,7.5,6,3,23,0,2.2,1,89,84,100
Rahul Patel,3,5.3,7,7,14,1,6.3,1,97,82,98
Pooja Kulkarni,3.2,6.9,5,6,23,0,6,1,87,74,91
Varun Bansal,4.5,8.7,8,4,6,1,6.4,1,100,69,100
Yash Iyer,6.5,7,8,3,14,0,5.8,1,87,75,100
Harsh Mishra,3.6,8.5,4,2,17,1,4.7,0,67,70,91
Aarav Bose,4.6,8.5,7,4,14,1,5.2,1,77,61,100
Myra Desai,1.8,6.8,7,5,23,0,10,1,78,76,75
Vivaan Tiwari,7.4,6.7,8,7,14,1,6.6,0,76,86,100
Sneha Saxena,4.4,8.2,8,7,21,1,8.5,1,94,90,100
Yash Goyal,3.4,7.3,8,2,9,1,4.6,1,77,90,100
Sai Bose,3.6,8.4,8,4,13,1,5,1,83,71,100
Yash Yadav,1.3,7.8,6,6,24,0,7.2,1,100,42,74
Vihaan Patel,3,7.9,9,2,26,1,4.8,0,79,77,100
Atharva Chatterjee,5.8,7.1,7,6,22,1,4.9,0,66,58,98
Saanvi Agarwal,3.6,7.1,10,6,13,0,4.9,0,84,53,87
Ankit Chatterjee,4.5,6.4,7,6,18,1,6.8,0,79,82,93
Neha Kulkarni,2.2,7.4,7,6,15,1,5.4,0,82,82,94
Arjun Chatterjee,5.8,6.8,8,5,7,1,11,1,88,64,100
Tanishq Reddy,4.3,5.7,6,1,14,1,7.3,0,82,49,96
Sai Tiwari,1.7,6.2,7,8,14,1,7.2,1,92,68,78
Riya Agarwal,3.7,8.1,6,4,25,0,1,0,74,66,94
Atharva Tiwari,4.8,7.3,8,5,13,1,7,1,87,66,100
Diya Shah,7.2,6.5,7,7,15,1,7.3,0,84,81,100
Harsh Tiwari,9.3,7.3,6,5,20,0,4.5,1,85,70,100
Ishaan Jain,6.3,8.5,9,3,21,0,3.3,0,81,50,100
Sai Chatterjee,4.5,7.8,5,3,21,1,5.2,1,84,71,100
Diya Verma,3.7,6.1,6,8,9,1,4.6,0,86,91,90
Rohit Bose,5.4,7.5,5,6,15,1,4.6,1,80,76,99
Aditya Roy,4.3,7,7,5,12,0,6.2,1,77,62,91
Ira Bose,6.5,6.5,6,5,11,0,4.1,0,71,67,100
Nikhil Jain,6.3,5.5,7,4,11,0,5.8,1,64,59,100
Myra Joshi,6.3,7.6,9,4,6,1,4.4,0,77,50,100
Sneha Patel,1.8,7.7,10,2,13,1,5.1,0,86,47,96
Aditya Yadav,4.4,7.1,4,2,5,1,6.7,1,66,64,93
Myra Sharma,2.3,7.3,8,9,13,1,7.8,0,94,62,69
Ira Agarwal,6.1,8,8,4,13,0,7.6,0,80,74,100
Yash Trivedi,5.6,7.6,7,7,19,1,3.3,0,82,83,100
Reyansh Agarwal,3.8,4.6,4,6,19,1,5.7,0,100,75,92
Ishita Patel,5.1,8.7,6,5,15,0,5.1,0,89,54,93
Harsh Nair,1.5,7.1,5,3,16,0,3.9,1,94,51,82
Palak Roy,2.2,7.1,8,6,15,1,6.7,0,81,80,91
Sakshi Gupta,0.5,7.5,7,6,16,1,4,0,83,56,71
Aadhya Goyal,5.4,6.6,8,6,20,0,5.4,1,95,76,98
Palak Joshi,0.7,7.1,9,7,15,1,1.6,1,84,70,77
Aarav Agarwal,3.9,8.2,7,3,16,0,6.5,1,89,92,100
Atharva Kulkarni,3,7.1,7,5,5,1,3.3,0,85,70,92
Rahul Banerjee,3.5,5.6,6,8,17,1,4.4,0,78,90,90
Kavya Desai,1.9,6.5,8,5,15,0,8.4,0,78,80,82
Pooja Mishra,3,6.3,7,4,10,0,6.2,1,87,45,83
Karan Reddy,2.4,6.8,4,4,22,0,5,0,95,56,80
Aman Kulkarni,2,8.5,6,6,9,0,4.1,0,82,81,81
Tanvi Roy,5.1,7.7,5,6,21,0,4.8,0,76,80,98
Manav Goyal,1.8,6.6,9,6,15,0,6,0,94,55,82
Reyansh Kulkarni,3.9,6.4,4,1,16,1,4.5,0,85,47,98
Diya Agarwal,4.4,5.4,9,7,23,0,5.4,1,93,63,92
Sneha Pandey,4.3,6.4,9,7,12,1,3.7,1,97,100,100
Vivaan Kumar,5.2,6.8,5,6,19,0,6.7,0,84,60,90
Aarav Mehta,1.5,8.7,8,4,10,1,5,0,86,73,88
Dhruv Shah,4,6.7,10,3,19,0,6.3,1,74,68,94
Arjun Patel,1.7,6.2,5,5,20,1,5,0,87,74,70
Varun Nair,1.1,5.4,6,7,24,0,7.1,0,72,91,65
Yash Jain,3.1,6.6,8,3,18,0,7.5,1,77,76,87
Ishaan Das,4.2,6.1,7,5,16,1,6.1,1,87,92,100
Ishita Chatterjee,2.4,6.7,6,6,17,0,3.4,0,78,33,68
Manav Roy,5.6,6.6,6,5,18,1,2.6,0,100,64,100
Myra Yadav,5.4,6.5,7,2,11,0,4.4,0,94,92,100
Diya Mishra,0.6,7.8,5,5,17,1,1,1,96,48,80
Aditya Shah,7.2,7.8,5,8,10,1,2.8,0,77,77,100
Ira Chatterjee,9,8.7,7,6,14,1,5.1,1,80,30,100
Neha Saxena,3.8,7.6,7,4,13,1,5,0,87,70,95
Harsh Pandey,2.2,6.6,9,5,15,1,1.6,0,79,66,87
Neha Iyer,4.4,8.1,7,5,10,1,3.6,0,76,67,96
Atharva Patel,4.4,5.5,7,6,20,0,3.1,0,77,77,98
Krishna Bansal,5.8,9.3,8,6,18,0,5.9,0,83,89,100
Nikhil Banerjee,1.8,5.1,7,6,13,0,5.9,0,92,82,90
Ankit Verma,6.1,5.8,7,6,22,1,5.4,1,99,72,100
Palak Kulkarni,4,5.6,9,6,13,1,8.1,0,87,75,99
Ira Kulkarni,1.5,7.5,4,5,15,1,3.4,1,91,61,74
Manav Gupta,7.3,8.7,7,5,14,0,4.6,0,96,91,100
Kavya Roy,7.3,8.9,7,8,15,1,5.9,1,93,72,100
Manav Reddy,3.8,7.2,5,1,14,0,3.5,0,88,100,100
Kavya Chauhan,4,7.7,7,2,20,0,9.9,0,98,73,91
Rohit Verma,8.6,7.7,5,8,14,0,7.8,0,71,67,89
Aadhya Desai,7.1,6.3,6,4,17,1,4.7,1,92,81,100
Aadhya Kumar,8.5,8.3,5,4,14,1,6.3,1,90,77,100
Vivaan Shah,3.1,7.1,7,4,11,1,3.6,0,79,57,92
Manav Yadav,3.3,5.6,6,4,18,0,7.9,0,95,76,99
Diya Mishra,1.9,6.3,6,6,14,0,3.8,1,88,100,100
Ishita Tiwari,7.2,7.9,7,4,13,1,6.1,0,80,81,100
Nikhil Goyal,5.9,7.7,4,6,30,1,5.2,1,88,100,100
Harsh Iyer,3.7,7.1,6,6,16,0,7,1,80,68,78
Vihaan Yadav,4.6,6.1,9,6,11,1,4.9,0,78,62,94
Harsh Sharma,3.1,6.8,8,5,17,1,3.6,0,84,66,93
Rudra Joshi,3.9,6.2,9,5,12,0,3.8,1,83,96,100
Anika Saxena,1.9,7.4,7,3,17,0,4.4,1,62,42,70
Ira Desai,3.2,7.8,7,2,24,0,2.4,0,86,66,100
Krishna Iyer,0,6.5,6,4,21,1,4.8,1,79,74,83
Reyansh Agarwal,2.6,5.5,7,5,7,0,6.7,1,71,80,80
Aditya Goyal,9.2,5.7,7,5,24,1,6.8,0,68,69,100
Saanvi Jain,2.2,7.7,7,6,15,1,8.4,1,83,78,76
Harsh Jain,5.8,6.1,7,5,19,1,4.4,1,88,62,100
Dhruv Jain,3.1,8.2,6,1,10,0,1.1,0,67,71,93
Riya Trivedi,4.4,6.2,10,3,13,1,4.8,1,88,66,100
Riya Nair,0,5.4,5,3,6,1,5.3,0,61,79,65
Aman Jain,6.2,7.6,6,4,5,1,4.5,0,86,50,99
Ankit Chatterjee,2.3,8.5,5,7,17,0,7.8,0,84,79,63
Ankit Reddy,5.5,6.3,4,4,23,1,3.5,1,93,46,100
Krishna Verma,6.3,6,5,2,14,1,2.2,0,77,85,100
Priya Sharma,2.3,7.9,5,6,18,1,2.2,1,84,70,88
Priya Mehta,6,5.9,4,7,11,0,4.2,1,87,80,93
Tanishq Saxena,3.9,8.3,7,5,13,1,3.2,0,82,83,100
Anika Singh,5.5,7.6,8,8,19,1,2.2,0,82,64,95
Aman Iyer,2.8,6.4,6,3,17,1,2.1,0,73,58,87
Harsh Gupta,3.7,6.5,7,4,6,1,7.7,1,97,80,94
Rahul Bansal,2.6,5.7,7,6,10,0,5.7,0,80,86,90
Harsh Tiwari,4.4,8.4,7,5,5,1,5.4,0,99,71,100
Arjun Patel,2.3,8.2,9,6,19,1,7.9,0,83,69,88
Myra Pandey,2.4,6.4,6,5,21,0,5.4,1,86,74,81
Vihaan Chauhan,5.9,8,7,7,17,0,6.2,0,100,86,100
Manav Verma,1.7,6.8,10,2,18,1,9.2,1,81,87,100
Saanvi Bansal,6.8,5.9,6,6,9,1,4.3,0,82,57,96
Rahul Iyer,2.5,7,7,1,15,1,3.2,1,91,60,98
Aman Desai,2.8,7.6,9,6,16,1,5.1,1,91,58,95
Rohit Chatterjee,6.1,7.1,8,6,23,1,3.1,0,93,57,100
Sai Desai,4.3,7,5,6,16,1,2.4,0,85,63,100
Manav Patel,7.8,5.1,8,4,25,0,4.1,0,63,88,100
Ishita Reddy,3.7,7.7,7,2,15,0,7.4,1,92,82,98
Varun Chauhan,8.1,6.3,8,3,17,0,7.5,1,62,63,100
Neha Saxena,2.6,5.5,4,6,11,1,4.5,1,85,31,72
Rohit Trivedi,5.3,7.4,7,9,16,1,3.7,0,86,88,95
Karan Mehta,4,7.1,8,7,15,1,1,1,81,69,100
Manav Pandey,4.6,6.2,8,1,11,0,6.7,1,89,59,100
Harsh Yadav,4.8,6.8,4,4,13,1,6.5,0,100,100,100
Anika Nair,3.8,7.2,8,4,14,1,7.1,0,90,80,97
Yash Iyer,4.7,6.6,6,6,22,1,5.5,1,86,94,100
Pooja Joshi,4.9,5.7,8,9,5,0,4.6,1,88,73,97
Harsh Joshi,2.3,8.2,7,1,10,1,2.6,1,89,62,100
Aditya Kulkarni,3.6,6.4,8,6,6,1,5,0,84,72,99
Aadhya Singh,5.8,7.1,8,3,16,1,6.5,0,87,76,100
Kavya Singh,1.5,8,7,5,12,0,3.9,1,70,55,64
Tanvi Bose,6.6,7.2,9,5,16,1,5.1,0,69,78,100
Karan Das,3.5,5.7,8,7,15,0,2.1,1,86,64,92
Aditya Jain,4.5,7.4,7,6,7,0,1.9,1,91,44,93
Palak Trivedi,6.3,5.5,8,2,19,0,5.2,0,72,88,100
Neha Iyer,3.5,8.1,7,6,15,1,8.6,0,92,74,92
Yash Patel,4.7,6.8,7,4,17,0,6.1,0,56,74,84
Riya Nair,2.2,8.4,7,3,18,0,6.1,0,72,71,85
Pooja Banerjee,8.6,8.2,4,7,15,1,6.9,0,82,87,100
Vivaan Joshi,7.4,7.8,7,5,12,1,6.4,0,95,47,100
Priya Shah,5.2,7.6,5,6,12,0,5,0,82,67,100
Tanvi Chatterjee,5.3,7.3,7,4,18,0,5.8,1,97,42,100
Vivaan Goyal,4.3,7.8,6,7,21,0,7.3,0,78,100,91
Sneha Agarwal,4.4,7.1,5,3,14,0,3.8,0,69,67,93
Saanvi Mehta,2.9,7.6,9,6,10,1,1.5,0,92,69,96
Palak Kulkarni,5.6,9.1,9,1,20,1,6.2,0,75,73,100
Harsh Chatterjee,2.5,6.5,9,6,13,0,5.2,0,91,50,85
Ishaan Chatterjee,5.1,6.1,5,5,20,1,5.1,0,83,66,96
Meera Yadav,5.8,8.9,8,7,17,1,6.2,0,77,100,100
Sakshi Singh,5.1,8.3,7,9,15,0,4.1,0,77,74,93
Rohit Mishra,3,6.8,7,3,14,1,7.5,1,92,37,86
Tanvi Bansal,6.5,8.2,9,4,16,1,5.1,0,98,65,100
Sneha Banerjee,2.9,7.1,8,6,9,0,4.3,0,87,71,93
Manav Mehta,5.2,5.8,8,1,8,0,4.1,1,100,84,100
Kavya Chatterjee,0.4,6.8,8,6,13,1,4.4,1,77,81,89
Neha Sharma,7.4,6,6,3,21,1,5.9,1,92,74,100
Kabir Trivedi,3.5,5.3,4,4,17,1,5.6,0,95,62,85
Reyansh Shah,3.5,6.9,5,3,14,1,7,1,74,51,80
Nikhil Joshi,3.6,7,6,5,8,0,7.9,0,92,61,79
Ira Shah,5.3,6.8,6,4,16,1,3.2,0,84,56,99
Aarav Joshi,3.9,7.5,8,5,7,1,5.5,1,91,69,100
Krishna Saxena,0,7,6,5,24,1,5.7,1,88,66,75
Diya Bansal,2.4,6.3,9,4,21,1,5.3,0,75,63,93
Rudra Patel,6.4,6.3,7,5,16,0,5.6,0,77,82,100
Dhruv Kulkarni,5.2,6,5,5,14,1,1,0,91,67,100
Pooja Jain,2.5,6.8,6,6,17,1,8,1,83,84,88
Anaya Das,5.7,6.4,7,5,14,1,1,1,98,62,100
Rahul Yadav,10,7.2,6,9,12,0,5.9,0,82,89,100
Tanishq Pandey,4.7,6.5,7,7,23,1,4.5,0,85,46,87
Vivaan Yadav,3.1,8,7,6,19,1,7.4,0,89,61,89
Yash Reddy,3.6,7.3,6,8,8,0,6.8,1,75,61,81
Pooja Bansal,1.7,7.2,5,2,11,0,3.1,0,83,93,90
Riya Tiwari,6.2,6.5,6,7,19,1,6.2,0,80,77,100
Kavya Shah,0.7,7.7,6,4,18,0,7.7,1,91,62,78
Riya Goyal,4.9,6.4,5,3,16,1,4.8,1,84,64,95
Riya Agarwal,0,5.2,9,4,14,1,7.1,1,79,45,69
Tanvi Agarwal,5.1,8,7,6,18,1,7.4,0,93,70,96
Sai Kulkarni,5.3,5.1,6,7,15,1,9.4,0,86,75,95
Anaya Goyal,5,7.1,7,7,13,1,7.7,0,98,59,94
Meera Patel,5.2,7.5,5,7,21,1,6.1,0,91,76,97
Varun Saxena,7.9,7,6,5,17,1,4.3,1,81,57,100
Harsh Jain,1.3,7.2,8,5,22,0,6.6,0,75,63,80
Krishna Agarwal,6.8,6.9,8,5,13,1,6.2,0,85,56,100
Arjun Chauhan,7.8,7,7,7,14,1,3.2,0,62,38,100
Sakshi Saxena,7.2,7.8,6,2,19,1,1.3,1,87,73,100
Vihaan Verma,7.3,4.9,5,5,15,0,5,0,88,84,100
